Age,Date,Feed,FI,Culling,Death,Live_Bird,Std_Body_Weight,ADG,ADG_actual,Total_Body_Weight,Body_Weight,FCR,FCR_actual,IP,IP_actual,Ayam_Dipelihara,persen_Live_Bird
14,07/02/2023,12300,631,0,11,19320,528,477.0,34.07142857142857,9215.64,477.0,1.33,1.334687552899202,248,242.851977834675,20380,94.79882237487732
17,10/02/2023,17300,890,0,12,19279,722,613.0,36.05882352941177,11818.027,613.0,1.46,1.463865330481983,237,233.6356012554376,20380,94.59764474975466
19,12/02/2023,20950,1080,0,12,19249,865,730.0,38.42105263157895,14051.77,730.0,1.49,1.49091537934367,248,243.5493549094926,20380,94.450441609421
20,13/02/2023,23100,1192,0,15,19234,941,190.0,46.00000000000001,17695.28,920.0,1.31,1.305432861192363,337,331.3995909775338,20380,94.37684003925418
25,18/02/2023,34500,1785,0,12,19172,1349,1100.0,44.0,21089.2,1100.0,1.64,1.635908427062193,258,252.3899566767994,20380,94.07262021589794
26,19/02/2023,36450,1887,0,11,19161,1436,100.0,46.15384615384615,22993.2,1200.0,1.59,1.585251291686238,279,272.9133402934947,20380,94.01864573110892
29,22/02/2023,42000,2177,0,13,19123,1706,1570.0,54.13793103448276,30023.11,1570.0,1.4,1.398922363472672,371,362.8486103926867,20380,93.83218842001962
30,23/02/2023,43950,2279,0,10,19113,1798,-545.0,34.16666666666666,19590.825,1025.0,2.24,2.243397100428389,146,143.0471707205944,20380,93.78312070657508
31,24/02/2023,45800,2376,0,7,19106,1892,615.0,52.90322580645162,31333.84,1640.0,1.46,1.461678492007364,348,339.6994879004612,20380,93.74877330716387
34,27/02/2023,51250,2662,0,6,19071,2177,1850.0,54.41176470588235,35281.35,1850.0,1.45,1.452608814572005,356,351.1511504537519,20380,93.57703631010796
2,22/12/2022,750,38,0,23,19965,80,11.0,31.85,1271.7705,63.7,0.59,0.5897290430938601,540,522.6066092079192,20623,96.80938757697716
3,23/12/2022,900,45,0,30,19935,100,17.05,26.91666666666667,1609.75125,80.75,0.56,0.5590925927220122,481,464.6197293590374,20623,96.66391892547156
4,24/12/2022,1300,65,0,33,19902,124,14.5,23.8125,1895.6655,95.25,0.69,0.6857749956413723,345,333.0433623075967,20623,96.5039034088154
5,25/12/2022,1950,98,0,40,19862,150,26.95,24.44,2427.1364,122.2,0.8,0.803415910205953,302,294.2268826067983,20623,96.30994520680794
